CIDADE;RENDA_MEDIA;ANO;valor;numero_postos_formais
Joao Pessoa;2.7;2023;4800808170.95;371343
Bayeux;1.6;2023;353091445.49;12501
Cabedelo;2.4;2023;570177616.73;24432
Santa Rita;1.8;2023;590335453.08;24007
Alhandra;1.9;2023;231746486.00;5775
Conde;1.8;2023;238729390.00;7973
Lucena;1.5;2023;80861738.00;2475
Pedras De Fogo;1.6;2023;190489681.00;5969
Cruz Do Espirito Santo;1.6;2023;95754223.00;2407
Rio Tinto;1.6;2023;120937600.94;4425
Caapora;1.7;2023;134826919.00;5496
Pitimbu;1.9;2023;130049127.00;2651
