municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Caaporã;201038;Prefeitura Municipal de Caaporã;072025;2025;24299901;Outras Transferências de Recursos dos Estados - Principal;Lançamento de Receita;0;710;Transferência Especial dos Estados;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;072025;2025;24299901;Outras Transferências de Recursos dos Estados - Principal;Lançamento de Receita;300.000;710;Transferência Especial dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
Caaporã;201038;Prefeitura Municipal de Caaporã;122025;2025;24199901;Outras Transferências de Recursos da União e de suas Entidades - Principal;Lançamento de Receita;1.980.000;706;"Transferência Especial da União ";3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
Caaporã;201038;Prefeitura Municipal de Caaporã;022025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;288.497,91;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;012025;2025;24115111;Transferências de Recursos do Bloco de Estruturação da Rede de Serviços Públicos de Saúde - Atenção Primária - Principal;Lançamento de Receita;45.654,23;601;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;122025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;53.957,65;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;102025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;10.052,88;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;052025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;-214.472,64;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;032025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;214.905,13;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;022025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;650,22;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;122025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;0,9;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;112025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;4.629,9;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;092025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;4.801,26;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;072025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;3.263,7;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;062025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;4.166,91;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;062025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;1.466,13;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Caaporã;201038;Prefeitura Municipal de Caaporã;062025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;2.083,46;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Caaporã;201038;Prefeitura Municipal de Caaporã;042025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;6.783,2;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;012025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;5.383,34;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Caaporã;201038;Prefeitura Municipal de Caaporã;122025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;-155.088,81;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
