municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Cabedelo;201040;Prefeitura Municipal de Cabedelo;092025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;1.531.226;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;062025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;765.613;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;012025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;5.292.366;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;072025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;22.638,69;570;Transferências do Governo Federal referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;072025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;1.041.379,56;575;Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;072025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;67.916,06;571;Transferências do Estado referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;062025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;9.236,04;570;Transferências do Governo Federal referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;062025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;424.857,83;575;Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;062025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;27.708,12;571;Transferências do Estado referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;112025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;2.125.000;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;082025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;2.125.000;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;032025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;2.125.000;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;122025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;414.035,6;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;112025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;395.000,72;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;102025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;634.894,14;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;092025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;2.172.087,96;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;082025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;314.324,27;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;072025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;348.045,72;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;062025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;130.326,75;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;236.287,11;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.444,04;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Cabedelo;201040;Prefeitura Municipal de Cabedelo;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.569,6;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Cabedelo;201040;Prefeitura Municipal de Cabedelo;042025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;243.371,17;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;306.126,56;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;022025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;286.305,67;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;012025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;222.835,24;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;122025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;424.438,91;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;112025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;4.397.977,67;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;102025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;503.420,9;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;092025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;784.127,69;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;082025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;259.678,74;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;072025;2025;19999911;Outras Receitas Administradas pela RFB - Principal;Lançamento de Receita;333.938,24;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
