municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;24299901;Outras Transferências de Recursos dos Estados - Principal;Lançamento de Receita;270.000;710;Transferência Especial dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
Pitimbu;201147;Prefeitura Municipal de Pitimbu;032025;2025;24229901;Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal;Lançamento de Receita;125.000;701;Outras Transferências de Convênios ou Repasses dos Estados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;1.386.000;706;"Transferência Especial da União ";3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;0;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;2.500;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;25.000;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;86.000;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;072025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;6,48;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;540;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;475;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;280;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;072025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;138,1;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;052025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;2.541,52;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;042025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;4.482,28;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;032025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;139.957,6;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;022025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;2.000;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;16.647,14;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;6.410,82;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;167,28;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;7.512,07;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;7.608,99;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;315,66;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;082025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;8.405,81;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;082025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;105,24;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;072025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;15.704,64;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;062025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;11.070,44;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;052025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;761,76;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;052025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;15.948,8;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;042025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;17.449,34;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;032025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;18.375,3;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;022025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;22.392,76;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;022025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;0;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;012025;2025;19110101;Multas Previstas em Legislação Específica - Principal;Lançamento de Receita;4.748,41;752;Recursos Vinculados ao Trânsito;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Outras Deduções;-343,09;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.677.348,19;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.180.750,1;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.541.335,31;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;355.506,25;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.931.263,91;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;082025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.201.572,48;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;072025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.866.324,58;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;062025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.341.265,21;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;052025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.332.747,06;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;042025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;413.450,92;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Pitimbu;201147;Prefeitura Municipal de Pitimbu;042025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.616.968,92;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;042025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Dedução do Fundeb;0;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;032025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.743.241,9;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;032025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;239.654,8;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Pitimbu;201147;Prefeitura Municipal de Pitimbu;022025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Dedução do Fundeb;0;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;022025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;35.019,87;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Pitimbu;201147;Prefeitura Municipal de Pitimbu;022025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.493.808,34;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;012025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.844.434,9;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;012025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;32.075,66;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Pitimbu;201147;Prefeitura Municipal de Pitimbu;012025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;324.915,39;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;17295201;Transferências de Recursos Destinados a Programas de Educação - Principal;Lançamento de Receita;140.097,1;571;Transferências do Estado referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17295201;Transferências de Recursos Destinados a Programas de Educação - Principal;Lançamento de Receita;70.048,55;571;Transferências do Estado referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;062025;2025;17295101;Transferências de Estados destinadas à Assistência Social - Principal;Lançamento de Receita;6.446,19;660;Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;062025;2025;17295101;Transferências de Estados destinadas à Assistência Social - Principal;Lançamento de Receita;35.008,76;661;Transferência de Recursos dos Fundos Estaduais de Assistência Social;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;17249901;Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal;Lançamento de Receita;99.982,7;701;Outras Transferências de Convênios ou Repasses dos Estados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17249901;Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal;Lançamento de Receita;31.000;701;Outras Transferências de Convênios ou Repasses dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
Pitimbu;201147;Prefeitura Municipal de Pitimbu;072025;2025;17249901;Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal;Lançamento de Receita;0;701;Outras Transferências de Convênios ou Repasses dos Estados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;062025;2025;17249901;Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal;Lançamento de Receita;99.644,61;701;Outras Transferências de Convênios ou Repasses dos Estados;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17215301;Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal;Lançamento de Receita;5.637,44;750;Recursos da Contribuição de Intervenção no Domínio Econômico - CIDE;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;072025;2025;17215301;Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal;Lançamento de Receita;5.346;750;Recursos da Contribuição de Intervenção no Domínio Econômico - CIDE;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;042025;2025;17215301;Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal;Lançamento de Receita;4.860,07;750;Recursos da Contribuição de Intervenção no Domínio Econômico - CIDE;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;012025;2025;17215301;Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal;Lançamento de Receita;5.206,29;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;36,47;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;109,4;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Pitimbu;201147;Prefeitura Municipal de Pitimbu;122025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;583,46;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;31,77;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;95,29;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Pitimbu;201147;Prefeitura Municipal de Pitimbu;112025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;508,22;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;551,96;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;103,49;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Pitimbu;201147;Prefeitura Municipal de Pitimbu;102025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;34,5;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;103,87;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;553,98;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pitimbu;201147;Prefeitura Municipal de Pitimbu;092025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;34,62;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pitimbu;201147;Prefeitura Municipal de Pitimbu;082025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;28,44;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pitimbu;201147;Prefeitura Municipal de Pitimbu;082025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;85,3;500;Recursos não vinculados de Impostos;1002;Identificação das despesas com ações e serviços públicos de saúde
Pitimbu;201147;Prefeitura Municipal de Pitimbu;082025;2025;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;454,89;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
