municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;082025;2025;24299901;Outras Transferências de Recursos dos Estados - Principal;Lançamento de Receita;250.000;710;Transferência Especial dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;112025;2025;24225101;Transferências de Convênios dos Estados destinadas a Programas de Educação - Principal;Lançamento de Receita;300.000;571;Transferências do Estado referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;102025;2025;24199901;Outras Transferências de Recursos da União e de suas Entidades - Principal;Lançamento de Receita;396.000;706;"Transferência Especial da União ";3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;122025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;286.500;700;Outras Transferências de Convênios ou Repasses da União;3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;122025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;-286.500;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;022025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;767.604;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;022025;2025;24115011;Transferências de Recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde – Atenção Primária - Principal;Lançamento de Receita;-767.604;601;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;012025;2025;24115011;Transferências de Recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde – Atenção Primária - Principal;Lançamento de Receita;767.604;601;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;122025;2025;23110301;Amortização de Empréstimos - Estados e Municípios - Principal;Lançamento de Receita;446,75;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;102025;2025;23110301;Amortização de Empréstimos - Estados e Municípios - Principal;Lançamento de Receita;109,31;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;092025;2025;23110301;Amortização de Empréstimos - Estados e Municípios - Principal;Lançamento de Receita;0;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;122025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;67.390,66;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;112025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;36.234,49;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;102025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;40.966,7;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;092025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;48.000,35;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;082025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;40.603,93;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;072025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;43.034,66;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;062025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;39.485,68;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;052025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;51.371,33;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;042025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;46.348,31;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;032025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;29.035,62;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;022025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;33.638,75;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;012025;2025;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;22.743,46;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;062025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;25,62;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;032025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;60.945,41;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;022025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;0;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;012025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;3.620,34;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;122025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;718.531,43;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;122025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.847.652,28;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;112025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;585.332,27;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;112025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.505.140,17;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;102025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;509.128,76;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;102025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.309.188,26;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;092025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;518.368,01;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;092025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.332.946,32;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;082025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;590.921,18;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;082025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.519.511,6;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;072025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.288.125,62;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;072025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;500.937,73;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;062025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.615.926,64;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;062025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;628.415,93;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;052025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.608.537,54;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;052025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;625.542,37;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;042025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;544.982,31;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;042025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.401.383,08;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Rio Tinto;201163;Prefeitura Municipal de Rio Tinto;032025;2025;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;532.226,7;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
