municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Bayeux;201025;Prefeitura Municipal de Bayeux;052026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.701,71;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;042026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;6.796,92;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;032026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;4.759,92;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;022026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.781,08;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;012026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;388,5;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;032026;2026;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;44.369,01;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;032026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;106.662,18;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;022026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;5.682,03;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;012026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;9.882;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;012026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;932,81;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;012026;2026;17999901;Outras Transferências Correntes - Principal;Lançamento de Receita;602.003,81;719;Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei 14.399/2022;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;052026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;3.106.264,73;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
Bayeux;201025;Prefeitura Municipal de Bayeux;052026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;345.140,54;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Bayeux;201025;Prefeitura Municipal de Bayeux;042026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;4.301.097,91;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;1070;Identificação do percentual aplicado no pagamento da remuneração dos profissionais da educação básica em efetivo exercício
