municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Conde;201061;Prefeitura Municipal de Conde;022026;2026;24225101;Transferências de Convênios dos Estados destinadas a Programas de Educação - Principal;Lançamento de Receita;2.658.286,52;571;Transferências do Estado referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;032026;2026;24125091;Outras transferências destinadas a Programas de Educação - Principal;Lançamento de Receita;1.582.369,69;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;052026;2026;19999922;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Multas e Juros de Mora;Lançamento de Receita;60.839,66;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;042026;2026;19999922;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Multas e Juros de Mora;Lançamento de Receita;72.166,65;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;032026;2026;19999922;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Multas e Juros de Mora;Lançamento de Receita;78.667,8;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;022026;2026;19999922;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Multas e Juros de Mora;Lançamento de Receita;73.614,77;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;012026;2026;19999922;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Multas e Juros de Mora;Lançamento de Receita;75.414,03;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;042026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;334,55;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;032026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;142,26;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;022026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;4.421,2;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;022026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;40.000;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;012026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;150,22;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;052026;2026;19991222;Ônus de Sucumbência - Multas e Juros de Mora;Lançamento de Receita;170,37;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;052026;2026;19991222;Ônus de Sucumbência - Multas e Juros de Mora;Lançamento de Receita;13,02;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Conde;201061;Prefeitura Municipal de Conde;042026;2026;19991222;Ônus de Sucumbência - Multas e Juros de Mora;Lançamento de Receita;39,15;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;032026;2026;19991222;Ônus de Sucumbência - Multas e Juros de Mora;Lançamento de Receita;426,87;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;022026;2026;19991222;Ônus de Sucumbência - Multas e Juros de Mora;Lançamento de Receita;78,75;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;012026;2026;19991222;Ônus de Sucumbência - Multas e Juros de Mora;Lançamento de Receita;125,26;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Conde;201061;Prefeitura Municipal de Conde;052026;2026;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;3.528,42;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
