municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Lucena;201107;Prefeitura Municipal de Lucena;032026;2026;29999901;Outras Receitas de Capital - Principal;Lançamento de Receita;34.026,77;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;022026;2026;29999901;Outras Receitas de Capital - Principal;Lançamento de Receita;11.439,79;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;012026;2026;29999901;Outras Receitas de Capital - Principal;Lançamento de Receita;25.178,26;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;052026;2026;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;597.800;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;042026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.501.335,73;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;032026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.409.455,87;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;022026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.207.024,59;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;012026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;1.162.518,88;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;042026;2026;17215301;Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal;Lançamento de Receita;3.523,89;750;Recursos da Contribuição de Intervenção no Domínio Econômico - CIDE;"Não ";Não Aplicável
Lucena;201107;Prefeitura Municipal de Lucena;012026;2026;17215301;Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal;Lançamento de Receita;4.372,77;750;Recursos da Contribuição de Intervenção no Domínio Econômico - CIDE;"Não ";Não Aplicável
