municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;24125091;Outras transferências destinadas a Programas de Educação - Principal;Lançamento de Receita;1.311.830,83;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;14.527,94;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;18.910,16;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;012026;2026;19229901;Outras Restituições - Principal;Lançamento de Receita;7.007,08;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;2.591.970,71;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;3.590.867,82;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;3.371.111,17;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;022026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;4.224.089,83;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;012026;2026;17515001;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal;Lançamento de Receita;3.834.897,02;540;Transferências do FUNDEB - Impostos e Transferências de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Dedução do Fundeb;-74,55;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;372,72;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;511,62;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Dedução do Fundeb;-102,33;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Dedução do Fundeb;-95,12;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;475,61;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;022026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;531,12;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;022026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Dedução do Fundeb;-106,22;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;012026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Lançamento de Receita;594,68;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;012026;2026;17215201;Cota-Parte do IPI - Municípios - Principal;Dedução do Fundeb;-118,94;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17215101;Cota-Parte do IPVA - Principal;Dedução do Fundeb;-29.915,42;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17215101;Cota-Parte do IPVA - Principal;Lançamento de Receita;149.577,02;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17215101;Cota-Parte do IPVA - Principal;Dedução do Fundeb;-46.814,57;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17215101;Cota-Parte do IPVA - Principal;Lançamento de Receita;234.072,77;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;17215101;Cota-Parte do IPVA - Principal;Dedução do Fundeb;-49.016,44;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;032026;2026;17215101;Cota-Parte do IPVA - Principal;Lançamento de Receita;245.082,12;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;022026;2026;17215101;Cota-Parte do IPVA - Principal;Dedução do Fundeb;-37.118,57;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;022026;2026;17215101;Cota-Parte do IPVA - Principal;Lançamento de Receita;185.592,76;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;012026;2026;17215101;Cota-Parte do IPVA - Principal;Dedução do Fundeb;-41.757,4;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;012026;2026;17215101;Cota-Parte do IPVA - Principal;Lançamento de Receita;208.786,91;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17215001;Cota-Parte do ICMS - Principal;Lançamento de Receita;1.134.436,77;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;052026;2026;17215001;Cota-Parte do ICMS - Principal;Dedução do Fundeb;-226.887,35;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17215001;Cota-Parte do ICMS - Principal;Dedução do Fundeb;-401.883,3;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
Pedras de Fogo;201139;Prefeitura Municipal de Pedras de Fogo;042026;2026;17215001;Cota-Parte do ICMS - Principal;Lançamento de Receita;2.009.416,63;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
