municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Santa Rita;201171;Prefeitura Municipal de Santa Rita;042026;2026;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;990.000;706;"Transferência Especial da União ";3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
Santa Rita;201171;Prefeitura Municipal de Santa Rita;032026;2026;23110601;Amortização de Empréstimos Contratuais - Principal;Lançamento de Receita;3.169,42;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;012026;2026;23110601;Amortização de Empréstimos Contratuais - Principal;Lançamento de Receita;2.093,72;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;042026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;78.001,25;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;032026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;31.588,34;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;022026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;157.121,7;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;012026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;9.142,39;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;052026;2026;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;16.453,3;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;042026;2026;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;15.365,13;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
Santa Rita;201171;Prefeitura Municipal de Santa Rita;032026;2026;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;19.485,87;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
