codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
,Alhandra,PB,2022,Total,Total,18 anos,349.0
,Alhandra,PB,2022,Total,Total,19 anos,366.0
,Alhandra,PB,2022,Total,Total,20 anos,376.0
,Alhandra,PB,2022,Total,Total,21 anos,323.0
,Alhandra,PB,2022,Total,Total,22 anos,385.0
,Alhandra,PB,2022,Total,Total,23 anos,385.0
,Alhandra,PB,2022,Total,Total,24 anos,326.0
,Alhandra,PB,2022,Total,Total,25 anos,318.0
,Alhandra,PB,2022,Total,Total,26 anos,366.0
,Alhandra,PB,2022,Total,Total,27 anos,348.0
,Alhandra,PB,2022,Total,Total,28 anos,310.0
,Alhandra,PB,2022,Total,Total,29 anos,318.0
,Alhandra,PB,2022,Total,Total,30 anos,339.0
,Alhandra,PB,2022,Total,Total,31 anos,316.0
,Alhandra,PB,2022,Total,Total,32 anos,322.0
,Alhandra,PB,2022,Total,Total,33 anos,326.0
,Alhandra,PB,2022,Total,Total,34 anos,296.0
,Alhandra,PB,2022,Total,Total,35 anos,309.0
,Alhandra,PB,2022,Total,Total,36 anos,299.0
,Alhandra,PB,2022,Total,Total,37 anos,345.0
,Alhandra,PB,2022,Total,Total,38 anos,344.0
,Alhandra,PB,2022,Total,Total,39 anos,381.0
,Alhandra,PB,2022,Total,Total,40 anos,386.0
,Alhandra,PB,2022,Total,Total,41 anos,337.0
,Alhandra,PB,2022,Total,Total,42 anos,356.0
,Alhandra,PB,2022,Total,Total,43 anos,333.0
,Alhandra,PB,2022,Total,Total,44 anos,300.0
,Alhandra,PB,2022,Total,Total,45 anos,288.0
,Alhandra,PB,2022,Total,Total,46 anos,302.0
,Alhandra,PB,2022,Total,Total,47 anos,289.0
,Alhandra,PB,2022,Total,Total,48 anos,298.0
,Alhandra,PB,2022,Total,Total,49 anos,271.0
,Alhandra,PB,2022,Total,Total,50 anos,272.0
,Alhandra,PB,2022,Total,Total,51 anos,256.0
,Alhandra,PB,2022,Total,Total,52 anos,262.0
,Alhandra,PB,2022,Total,Total,53 anos,230.0
,Alhandra,PB,2022,Total,Total,54 anos,228.0
,Alhandra,PB,2022,Total,Total,55 anos,224.0
,Alhandra,PB,2022,Total,Total,56 anos,221.0
,Alhandra,PB,2022,Total,Total,57 anos,191.0
,Alhandra,PB,2022,Total,Total,58 anos,203.0
,Alhandra,PB,2022,Total,Total,59 anos,203.0
,Alhandra,PB,2022,Total,Total,60 anos,187.0
,Alhandra,PB,2022,Total,Total,61 anos,176.0
,Alhandra,PB,2022,Total,Total,62 anos,179.0
,Alhandra,PB,2022,Total,Total,63 anos,137.0
,Alhandra,PB,2022,Total,Total,64 anos,133.0
,Alhandra,PB,2022,Total,Total,65 anos,122.0
,Alhandra,PB,2022,Total,Total,66 anos,104.0
,Alhandra,PB,2022,Total,Total,67 anos,119.0
,Alhandra,PB,2022,Total,Total,68 anos,98.0
,Alhandra,PB,2022,Total,Total,69 anos,114.0
,Alhandra,PB,2022,Total,Total,70 anos,94.0
,Alhandra,PB,2022,Total,Total,71 anos,87.0
,Alhandra,PB,2022,Total,Total,72 anos,114.0
,Alhandra,PB,2022,Total,Total,73 anos,72.0
,Alhandra,PB,2022,Total,Total,74 anos,88.0
,Alhandra,PB,2022,Total,Total,75 anos,53.0
,Alhandra,PB,2022,Total,Total,76 anos,60.0
,Alhandra,PB,2022,Total,Total,77 anos,52.0
,Alhandra,PB,2022,Total,Total,78 anos,53.0
,Alhandra,PB,2022,Total,Total,79 anos,51.0
,Alhandra,PB,2022,Total,Total,80 anos,41.0
,Alhandra,PB,2022,Total,Total,81 anos,37.0
,Alhandra,PB,2022,Total,Total,82 anos,38.0
,Alhandra,PB,2022,Total,Total,83 anos,22.0
,Alhandra,PB,2022,Total,Total,84 anos,28.0
,Alhandra,PB,2022,Total,Total,85 anos,27.0
,Alhandra,PB,2022,Total,Total,86 anos,20.0
,Alhandra,PB,2022,Total,Total,87 anos,17.0
,Alhandra,PB,2022,Total,Total,88 anos,17.0
,Alhandra,PB,2022,Total,Total,89 anos,9.0
,Alhandra,PB,2022,Total,Total,90 anos,10.0
,Alhandra,PB,2022,Total,Total,91 anos,8.0
,Alhandra,PB,2022,Total,Total,92 anos,11.0
,Alhandra,PB,2022,Total,Total,93 anos,6.0
,Alhandra,PB,2022,Total,Total,94 anos,7.0
,Alhandra,PB,2022,Total,Total,95 anos,5.0
,Alhandra,PB,2022,Total,Total,99 anos,2.0
,Alhandra,PB,2022,Total,Total,100 anos ou mais,2.0
,Bayeux,PB,2022,Total,Total,18 anos,1219.0
,Bayeux,PB,2022,Total,Total,19 anos,1277.0
,Bayeux,PB,2022,Total,Total,20 anos,1280.0
,Bayeux,PB,2022,Total,Total,21 anos,1336.0
,Bayeux,PB,2022,Total,Total,22 anos,1345.0
,Bayeux,PB,2022,Total,Total,23 anos,1277.0
,Bayeux,PB,2022,Total,Total,24 anos,1242.0
,Bayeux,PB,2022,Total,Total,25 anos,1309.0
,Bayeux,PB,2022,Total,Total,26 anos,1266.0
